recolhas,zmax,fracao_no_teto,dentro,agentes_dentro,travessias,travessias_teto,agentes_atravessam,agentes_presos,campanha,algo,cenario,run,modelo,sha1,seed,erro
70,1.16,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_door,,results/models/gnn_3d_best_cooperative_door.pth,2b7bca8beabc,2026,
71,0.7,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_door,1.0,results/models/gnn_3d_best_cooperative_door_run1.pth,049e26da1c46,2024,
69,1.45,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_door,1.0,results/models/gnn_3d_best_cooperative_door_run1.pth,049e26da1c46,2025,
70,0.87,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_door,1.0,results/models/gnn_3d_best_cooperative_door_run1.pth,049e26da1c46,2026,
71,2.45,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_door,2.0,results/models/gnn_3d_best_cooperative_door_run2.pth,28a35ad5cf04,2024,
72,1.65,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_door,2.0,results/models/gnn_3d_best_cooperative_door_run2.pth,28a35ad5cf04,2025,
71,1.51,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_door,2.0,results/models/gnn_3d_best_cooperative_door_run2.pth,28a35ad5cf04,2026,
70,0.72,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_door,3.0,results/models/gnn_3d_best_cooperative_door_run3.pth,a2d0674604a0,2024,
70,0.68,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_door,3.0,results/models/gnn_3d_best_cooperative_door_run3.pth,a2d0674604a0,2025,
71,0.59,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_door,3.0,results/models/gnn_3d_best_cooperative_door_run3.pth,a2d0674604a0,2026,
28,14.62,0.572,0,0,0,0,0,0,final_7d,PPO,four_rooms,,results/models_ppo/ppo_3d_final_four_rooms.zip,542cf82cfb9e,2024,
26,14.43,0.168,0,0,0,0,0,0,final_7d,PPO,four_rooms,,results/models_ppo/ppo_3d_final_four_rooms.zip,542cf82cfb9e,2025,
23,14.46,0.254,0,0,0,0,0,0,final_7d,PPO,four_rooms,,results/models_ppo/ppo_3d_final_four_rooms.zip,542cf82cfb9e,2026,
39,14.06,0.006,0,0,0,0,0,0,final_7d,SAC,four_rooms,,results/models_sac/sac_3d_final_four_rooms.zip,78132bf933d0,2024,
25,14.28,0.3,0,0,0,0,0,0,final_7d,SAC,four_rooms,,results/models_sac/sac_3d_final_four_rooms.zip,78132bf933d0,2025,
30,14.45,0.446,0,0,0,0,0,0,final_7d,SAC,four_rooms,,results/models_sac/sac_3d_final_four_rooms.zip,78132bf933d0,2026,
72,0.79,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_door,4.0,results/models/gnn_3d_best_cooperative_door_run4.pth,7710294b85fe,2024,
72,0.67,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_door,4.0,results/models/gnn_3d_best_cooperative_door_run4.pth,7710294b85fe,2025,
70,0.88,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_door,4.0,results/models/gnn_3d_best_cooperative_door_run4.pth,7710294b85fe,2026,
72,1.22,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_door,5.0,results/models/gnn_3d_best_cooperative_door_run5.pth,fc064870796d,2024,
69,3.89,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_door,5.0,results/models/gnn_3d_best_cooperative_door_run5.pth,fc064870796d,2025,
72,1.24,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_door,5.0,results/models/gnn_3d_best_cooperative_door_run5.pth,fc064870796d,2026,
25,9.47,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_perception,,results/models/gnn_3d_best_cooperative_perception.pth,002b04284403,2024,
25,10.17,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_perception,,results/models/gnn_3d_best_cooperative_perception.pth,002b04284403,2025,
24,10.09,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_perception,,results/models/gnn_3d_best_cooperative_perception.pth,002b04284403,2026,
23,9.54,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_perception,1.0,results/models/gnn_3d_best_cooperative_perception_run1.pth,b9eceb6c8d4e,2024,
20,10.32,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_perception,1.0,results/models/gnn_3d_best_cooperative_perception_run1.pth,b9eceb6c8d4e,2025,
16,10.17,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_perception,1.0,results/models/gnn_3d_best_cooperative_perception_run1.pth,b9eceb6c8d4e,2026,
71,0.74,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_door,6.0,results/models/gnn_3d_best_cooperative_door_run6.pth,0570c8f931bd,2024,
71,0.68,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_door,6.0,results/models/gnn_3d_best_cooperative_door_run6.pth,0570c8f931bd,2025,
67,0.61,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_door,6.0,results/models/gnn_3d_best_cooperative_door_run6.pth,0570c8f931bd,2026,
72,0.64,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_door,7.0,results/models/gnn_3d_best_cooperative_door_run7.pth,34771a030956,2024,
72,3.47,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_door,7.0,results/models/gnn_3d_best_cooperative_door_run7.pth,34771a030956,2025,
70,1.16,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_door,7.0,results/models/gnn_3d_best_cooperative_door_run7.pth,34771a030956,2026,
17,9.51,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_perception,2.0,results/models/gnn_3d_best_cooperative_perception_run2.pth,0939245618c5,2024,
24,10.24,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_perception,2.0,results/models/gnn_3d_best_cooperative_perception_run2.pth,0939245618c5,2025,
18,10.15,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_perception,2.0,results/models/gnn_3d_best_cooperative_perception_run2.pth,0939245618c5,2026,
20,9.52,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_perception,3.0,results/models/gnn_3d_best_cooperative_perception_run3.pth,beed23672b35,2024,
21,10.22,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_perception,3.0,results/models/gnn_3d_best_cooperative_perception_run3.pth,beed23672b35,2025,
20,10.15,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_perception,3.0,results/models/gnn_3d_best_cooperative_perception_run3.pth,beed23672b35,2026,
25,9.47,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_perception,4.0,results/models/gnn_3d_best_cooperative_perception_run4.pth,b368baa40a21,2024,
25,10.17,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_perception,4.0,results/models/gnn_3d_best_cooperative_perception_run4.pth,b368baa40a21,2025,
24,10.09,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_perception,4.0,results/models/gnn_3d_best_cooperative_perception_run4.pth,b368baa40a21,2026,
24,9.47,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_perception,5.0,results/models/gnn_3d_best_cooperative_perception_run5.pth,307c4a370add,2024,
25,10.17,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_perception,5.0,results/models/gnn_3d_best_cooperative_perception_run5.pth,307c4a370add,2025,
28,10.08,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_perception,5.0,results/models/gnn_3d_best_cooperative_perception_run5.pth,307c4a370add,2026,
15,9.67,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_perception,6.0,results/models/gnn_3d_best_cooperative_perception_run6.pth,fd9a9d17d46e,2024,
19,10.3,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_perception,6.0,results/models/gnn_3d_best_cooperative_perception_run6.pth,fd9a9d17d46e,2025,
15,10.22,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_perception,6.0,results/models/gnn_3d_best_cooperative_perception_run6.pth,fd9a9d17d46e,2026,
3,10.6,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_perception,7.0,results/models/gnn_3d_best_cooperative_perception_run7.pth,40238d00196f,2024,
4,10.48,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_perception,7.0,results/models/gnn_3d_best_cooperative_perception_run7.pth,40238d00196f,2025,
0,10.59,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_perception,7.0,results/models/gnn_3d_best_cooperative_perception_run7.pth,40238d00196f,2026,
14,9.47,0.0,0,0,0,0,0,0,final_7d,PPO,cooperative_perception,,results/models_ppo/ppo_3d_final_cooperative_perception.zip,52e646850946,2024,
14,10.16,0.0,0,0,0,0,0,0,final_7d,PPO,cooperative_perception,,results/models_ppo/ppo_3d_final_cooperative_perception.zip,52e646850946,2025,
12,10.29,0.0,0,0,0,0,0,0,final_7d,PPO,cooperative_perception,,results/models_ppo/ppo_3d_final_cooperative_perception.zip,52e646850946,2026,
63,3.69,0.0,0,0,0,0,0,0,final_7d,SAC,cooperative_door,,results/models_sac/sac_3d_final_cooperative_door.zip,353a48bbf9ec,2024,
